[0:00:00.16 --> 0:00:05.78]	  Hello everyone. This is our first lesson of the first session of machine learning zoom camp.
[0:00:06.22 --> 0:00:11.36]	  And in this lesson, we will introduce machine learning using a simple example.
[0:00:11.66 --> 0:00:15.42]	  So we will talk about predicting the price of a car.
[0:00:16.12 --> 0:00:25.80]	  And imagine we are running a car classifieds website. This is a website where you go if you want to sell your car,
[0:00:25.80 --> 0:00:29.36]	  or this is a website where you go if you want to buy a used car.
[0:00:30.04 --> 0:00:38.92]	  For example, I work at Elix and we also have a section on the website for selling cars and for buying cars.
[0:00:39.48 --> 0:00:48.88]	  And this is what you see when you go on Elix and you want to buy a car. You see different cars and you see pictures of these cars, you see prices of these cars.
[0:00:51.20 --> 0:00:55.90]	  And imagine that there is a person who wants to sell a car.
[0:00:56.10 --> 0:01:11.78]	  What they do is they take a picture, go to our app, upload the picture, put the title, put all the description, and then they reach this price field.
[0:01:12.02 --> 0:01:13.94]	  So they need to put the price.
[0:01:15.26 --> 0:01:23.28]	  And this is difficult. You don't want to put a price that is too high because nobody will buy a car.
[0:01:23.76 --> 0:01:28.56]	  You also don't want to put a price that is too low because in this case you're leaving money on the table.
[0:01:29.32 --> 0:01:33.30]	  So somebody maybe would buy a car for a higher price.
[0:01:33.86 --> 0:01:40.16]	  So you want to find a price that is just right. So it's difficult. So how do you do this?
[0:01:41.08 --> 0:01:43.72]	  So what some people do is they go on the website.
[0:01:45.86 --> 0:01:53.54]	  They look at existing ads and they try to do some analysis to understand how exactly they should select the price.
[0:01:53.64 --> 0:02:00.20]	  They look at similar ads and based on that, they select the price that works. That probably works.
[0:02:01.28 --> 0:02:08.56]	  But how can we, as the owners of this website, help the user select the best price?
[0:02:09.50 --> 0:02:16.28]	  And the answer is we can use machine learning. So let's first think what do we know about cars already?
[0:02:17.14 --> 0:02:23.94]	  So we know the price of these cars, right? So this is what users actually told us. So we know the price.
[0:02:25.36 --> 0:02:33.44]	  Then we know the age of a car. So we know when a car was manufactured. The older the car, the cheaper it is.
