[0:00:01.86 --> 0:00:02.90]	  Okay, welcome back.
[0:00:03.08 --> 0:00:06.48]	  This is the first lesson of our first session
[0:00:06.48 --> 0:00:07.42]	  of machine learning in ZoomCamp,
[0:00:07.64 --> 0:00:09.86]	  and we will talk about supervised machine learning.
[0:00:10.52 --> 0:00:13.36]	  So we will define more formally
[0:00:13.36 --> 0:00:15.20]	  what supervised machine learning is,
[0:00:15.48 --> 0:00:17.12]	  and we will talk about a couple of examples
[0:00:17.12 --> 0:00:19.02]	  like regression, classification, and ranking.
[0:00:19.50 --> 0:00:20.16]	  So let's start.
[0:00:21.24 --> 0:00:25.20]	  So in lesson one, we talked about an example
[0:00:25.20 --> 0:00:26.02]	  of price prediction.
[0:00:26.36 --> 0:00:28.40]	  So we wanted to predict the price of a car.
[0:00:28.70 --> 0:00:33.96]	  And what we did is we kind of supervised the model.
[0:00:34.66 --> 0:00:36.04]	  We were teachers of a model,
[0:00:36.24 --> 0:00:40.06]	  and we showed the model different examples.
[0:00:40.50 --> 0:00:42.02]	  We showed models different cars,
[0:00:42.64 --> 0:00:45.12]	  and for each car, we showed the price.
[0:00:45.36 --> 0:00:47.14]	  And we did it for all the cars we had.
[0:00:47.74 --> 0:00:52.66]	  And this way we supervised the algorithms, the machines.
[0:00:53.20 --> 0:00:55.26]	  We showed them, for this kind of cars,
[0:00:55.44 --> 0:00:57.04]	  this is what the price should be.
[0:00:57.62 --> 0:01:02.40]	  And this is the idea behind supervised machine learning.
[0:01:02.70 --> 0:01:05.42]	  So in all these cases, we have this label,
[0:01:05.62 --> 0:01:07.68]	  and this is how we supervised machine learning.
[0:01:08.16 --> 0:01:10.22]	  We show them, we teach the machines
[0:01:10.22 --> 0:01:11.46]	  by showing them examples.
[0:01:12.34 --> 0:01:14.08]	  And from these examples, the machines
[0:01:14.08 --> 0:01:16.18]	  are able to learn the patterns
[0:01:16.18 --> 0:01:19.94]	  and use these patterns to generalize new examples.
[0:01:20.26 --> 0:01:22.80]	  So let's say when we have a car
[0:01:22.80 --> 0:01:24.66]	  for which we don't know a price,
[0:01:25.60 --> 0:01:28.66]	  then the machines using the patterns they extracted,
[0:01:28.92 --> 0:01:30.90]	  they can predict the price of a car.
[0:01:31.54 --> 0:01:34.64]	  So we teach the algorithms.
[0:01:35.62 --> 0:01:38.50]	  And we also talked about the different example
[0:01:38.50 --> 0:01:40.16]	  of spam prediction.
[0:01:40.74 --> 0:01:42.96]	  So it was exactly the same.
[0:01:43.22 --> 0:01:46.86]	  So we were teachers, we were showing the machines
[0:01:46.86 --> 0:01:50.44]	  different example of spam and not spam messages.
[0:01:50.86 --> 0:01:52.84]	  And just by looking at these examples,
[0:01:53.12 --> 0:01:56.08]	  the algorithm was able to pick the patterns
[0:01:56.08 --> 0:01:59.50]	  and understand if there is the word deposit,
[0:01:59.74 --> 0:02:04.22]	  maybe this is more likely to be a spam message.
[0:02:04.88 --> 0:02:08.04]	  So these are the examples we saw so far.
[0:02:09.60 --> 0:02:12.68]	  And this is what we actually need to,
[0:02:13.54 --> 0:02:15.16]	  this is how the data looks like.
[0:02:15.42 --> 0:02:17.44]	  So we don't, of course, show pictures.
[0:0 --> 0:02:20.94]	  We don't just show text, not always.
[0:02:22.02 --> 0:02:25.76]	  So in some cases we do show pictures, we do show text,
[0:02:26.10 --> 0:02:28.06]	  but most of the time we need to extract features.
[0:02:28.90 --> 0:02:31.78]	  We need to extract, we need to show,
[0:02:32.16 --> 0:02:34.28]	  and we need to tell the models what exactly
[0:02:34.28 --> 0:02:35.34]	  we want them to predict.
[0:02:36.18 --> 0:02:38.74]	  We tell the model, okay, we want to predict
[0:02:38.74 --> 0:02:40.86]	  if something is spam or not spam.
[0:02:41.52 --> 0:02:44.86]	  So one means spam, zero means not spam,
[0:02:45.18 --> 0:02:47.32]	  but most of the models don't care if it's spam
[0:02:47.32 --> 0:02:50.34]	  or something else, or they care if it's zero or one.
[0:02:50.72 --> 0:02:50.72]	 
[0:02:51.98 --> 0:02:54.20]	  So we have these features, we have this target variable,
[0:02:54.70 --> 0:02:56.04]	  and we'll put this in a model.
[0:02:57.08 --> 0:03:02.16]	  And we can make it a bit more formal.
[0:03:02.76 --> 0:03:06.14]	  So for like a machine learning actually is a branch
[0:03:06.14 --> 0:03:08.32]	  of computer science and mathematics,
[0:03:08.68 --> 0:03:09.56]	  of applied mathematics.
[0:03:10.18 --> 0:03:13.54]	  So it uses mathematics, statistics and so on
[0:03:13.54 --> 0:03:15.72]	  to be able to extract these patterns.
[0:03:15.72 --> 0:03:20.48]	  So it can see that, let's say this feature is called
[0:03:20.48 --> 0:03:21.38]	  deposit, right?
[0:03:22.40 --> 0:03:27.98]	  And if we see that often, when we see that this feature
[0:03:27.98 --> 0:03:31.14]	  is one, then more often than not,
[0:03:32.70 --> 0:03:36.30]	  in three out of four cases, like this is probably,
[0:03:36.52 --> 0:03:39.26]	  but example, but in 50% of the cases actually,
[0:03:40.62 --> 0:03:44.80]	  if a word deposit is there, then it's spam.
[0:03:44.80 --> 0:03:47.54]	  So a model tries to extract patterns like that,
[0:03:47.70 --> 0:03:51.64]	  using concepts from mathematics and statistics.
[0:03:52.36 --> 0:03:54.14]	  So this is what it relies on,
[0:03:54.34 --> 0:03:57.36]	  and we will now define it a bit more formally.
[0:03:58.10 --> 0:04:01.62]	  So this feature matrix, so this is called feature matrix,
[0:04:02.44 --> 0:04:09.92]	  feature matrix, and we call it usually using capital X.
[0:04:12.56 --> 0:04:17.78]	  So this is our matrix, and matrix is like two-dimensional
[0:04:17.78 --> 0:04:22.94]	  array where rows are our observations or objects
[0:04:22.94 --> 0:04:24.46]	  for which we want to predict something,
[0:04:24.96 --> 0:04:26.64]	  and columns are features.
[0:04:27.28 --> 0:04:32.16]	  So this is first spam message, this is second message,
[0:04:32.24 --> 0:04:35.46]	  we have all these messages as a row of this matrix.
[0:0 --> 0:04:38.58]	  And then for each row, we have a corresponding,
[0:04:38.58 --> 0:04:41.28]	  like we have a matrix Y.
[0:04:42.60 --> 0:04:46.70]	  So this is, actually, this is a lowercase Y.
[0:04:47.68 --> 0:04:50.64]	  So this is a vector, right?
[0:04:50.88 --> 0:04:56.18]	  So this vector, for each row of the matrix,
[0:04:56.36 --> 0:04:58.62]	  we know if this is spama node,
[0:04:58.90 --> 0:05:01.74]	  so it just contains zeroes and ones in this case, right?
[0:05:03.42 --> 0:05:07.04]	  So we have this X and Y, capital X is the matrix feature,
[0:05:08.56 --> 0:05:13.90]	  smaller lowercase Y is our vector with target variable.
[0:05:14.86 --> 0:05:17.28]	  And I know that many of you,
