[0:0 --> 0:00:03.32]	  Okay, welcome back.
[0:00:03.66 --> 0:00:06.56]	  This is lesson seven of machine learning ZoomCAP session two.
[0:00:07.04 --> 0:00:10.24]	  And we will talk about training the machine learning model.
[0:00:10.66 --> 0:00:15.98]	  So in the previous lesson, we saw how to apply a model
[0:00:15.98 --> 0:00:20.36]	  and we know how to, when we have a feature matrix
[0:00:20.36 --> 0:00:23.04]	  and we have the weights, how to make predictions.
[0:00:23.58 --> 0:00:26.42]	  Now we need to answer the question,
[0:00:26.50 --> 0:00:28.12]	  how do we actually come with weights?
[0:00:29.20 --> 0:00:31.04]	  And we will do this now.
[0:00:32.76 --> 0:00:38.78]	  So remember that for us, this G of X,
[0:00:39.22 --> 0:00:42.10]	  the function we have looks like that.
[0:00:42.54 --> 0:00:48.28]	  So this is capital X, the feature matrix
[0:00:48.28 --> 0:00:50.18]	  times the weights vector.
[0:00:50.62 --> 0:00:52.38]	  So this is how it looks like.
[0:00:54.38 --> 0:00:59.56]	  And what we want to do is we want this to be close to Y.
[0:01:00.78 --> 0:01:04.92]	  So ideally we want this to be equal to Y,
[0:01:05.74 --> 0:01:06.88]	  but often it's not possible.
[0:01:08.62 --> 0:01:12.52]	  To find the closest solution to this,
[0:01:14.02 --> 0:01:18.28]	  like I did, we need to solve this system.
[0:01:18.38 --> 0:01:21.14]	  So this is a system, we need to solve it for W.
[0:01:21.14 --> 0:01:25.94]	  So we need to find a way to find W.
[0:01:26.72 --> 0:01:30.40]	  Let's say this X is invertible.
[0:01:30.76 --> 0:01:35.76]	  So it means that there exists X minus one,
[0:01:36.14 --> 0:01:39.70]	  not X, X to the power of minus one, which is an inverse
[0:01:39.70 --> 0:01:45.20]	  and we need to multiply it from this side as well.
[0:01:47.32 --> 0:01:48.86]	  So X minus one.
[0:01:49.60 --> 0:01:54.02]	  So in this case, if this inverse existed,
[0:01:54.52 --> 0:01:57.22]	  then this cancels, it becomes I,
[0:01:57.46 --> 0:01:59.84]	  and what we have is this.
[0:02:01.44 --> 0:02:04.84]	  So this is how you would solve this system
[0:02:04.84 --> 0:02:08.12]	  if inverse existed for X.
[0:02:08.80 --> 0:02:11.38]	  However, as we talked previously,
[0:02:11.48 --> 0:02:15.80]	  this X is usually a rectangular matrix.
[0:02:16.42 --> 0:02:20.32]	  So it has a lot of rows and a few columns perhaps.
[0:02:20.76 --> 0:02:27.68]	  So this has a dimensionality of M times N minus plus one.
[0:02:28.20 --> 0:02:31.04]	  And it's not square, definitely not square.
